date,close
01-Dec-78,-0.2
01-Mar-79,1.1
01-Jun-79,-0.6
01-Sep-79,1.6
01-Dec-79,0.6
01-Mar-80,0.5
01-Jun-80,-3.3
01-Sep-80,4.5
01-Dec-80,0.8
01-Mar-81,0.4
01-Jun-81,-1.6
01-Sep-81,1.6
01-Dec-81,-0.1
01-Mar-82,-4.9
01-Jun-82,3.7
01-Sep-82,0.1
01-Dec-82,-0.6
01-Mar-83,-7.7
01-Jun-83,4.1
01-Sep-83,2.7
01-Dec-83,2.1
01-Mar-84,-6.2
01-Jun-84,7.6
01-Sep-84,1.4
01-Dec-84,0.1
01-Mar-85,1
01-Jun-85,0.4
01-Sep-85,0.6
01-Dec-85,2.4
01-Mar-86,1.2
01-Jun-86,-3.7
01-Sep-86,3
01-Dec-86,0.8
01-Mar-87,0.5
01-Jun-87,0.4
01-Sep-87,-0.3
01-Dec-87,2.1
01-Mar-88,2.3
01-Jun-88,1.3
01-Sep-88,0.2
01-Dec-88,2.3
01-Mar-89,-3.1
01-Jun-89,5.1
01-Sep-89,-0.2
01-Dec-89,0.5
01-Mar-90,-0.3
01-Jun-90,0.5
01-Sep-90,-1.4
01-Dec-90,-1.1
01-Mar-91,0.1
01-Jun-91,-0.5
01-Sep-91,-1.6
01-Dec-91,1.2
01-Mar-92,0.1
01-Jun-92,-0.6
01-Sep-92,-0.1
01-Dec-92,0.2
01-Mar-93,-1.8
01-Jun-93,2.8
01-Sep-93,-0.6
01-Dec-93,1.7
01-Mar-94,0.3
01-Jun-94,1.7
01-Sep-94,1.2
01-Dec-94,0
01-Mar-95,1.8
01-Jun-95,1
01-Sep-95,-0.2
01-Dec-95,0.8
01-Mar-96,0.3
01-Jun-96,-0.8
01-Sep-96,-0.4
01-Dec-96,0.9
01-Mar-97,1
01-Jun-97,-0.8
01-Sep-97,-0.8
01-Dec-97,1.9
01-Mar-98,0.7
01-Jun-98,-0.5
01-Sep-98,-1.2
01-Dec-98,1.8
01-Mar-99,0.9
01-Jun-99,0.1
01-Sep-99,1
01-Dec-99,2
01-Mar-00,0.5
01-Jun-00,0
01-Sep-00,0.1
01-Dec-00,-1.3
01-Mar-01,0.8
01-Jun-01,-0.7
01-Sep-01,-1.1
01-Dec-01,0.6
01-Mar-02,2.2
01-Jun-02,-0.4
01-Sep-02,-0.4
01-Dec-02,1.7
01-Mar-03,2
01-Jun-03,-1.2
01-Sep-03,-0.5
01-Dec-03,1.5
01-Mar-04,1.7
01-Jun-04,-0.7
01-Sep-04,-0.5
01-Dec-04,1.3
01-Mar-05,2.6
01-Jun-05,-0.4
01-Sep-05,0.4
01-Dec-05,-0.9
01-Mar-06,1.6
01-Jun-06,1
01-Sep-06,0.2
01-Dec-06,0
01-Mar-07,1.9
01-Jun-07,0.8
01-Sep-07,-0.6
01-Dec-07,1
01-Mar-08,2.1
01-Jun-08,0.2
01-Sep-08,0.2
01-Dec-08,0
01-Mar-09,0.2
01-Jun-09,-1.5
01-Sep-09,-1.4
01-Dec-09,1.8
01-Mar-10,1.6
01-Jun-10,0.5
01-Sep-10,-0.1
01-Dec-10,1.2
01-Mar-11,1.1
01-Jun-11,-0.8
01-Sep-11,0.7
01-Dec-11,0
01-Mar-12,0.6
01-Jun-12,0.9
01-Sep-12,-1.8
01-Dec-12,0.7
01-Mar-13,1.4
01-Jun-13,-0.1
01-Sep-13,-0.7
01-Dec-13,-0.4
01-Mar-14,1.7
01-Jun-14,0.4
01-Sep-14,-1.7
01-Dec-14,0.1
01-Mar-15,2.9
01-Jun-15,0.5
01-Sep-15,-1.9
01-Dec-15,1.3
01-Mar-16,2.5
01-Jun-16,-1.5
01-Sep-16,-1.2
01-Dec-16,0.9
01-Mar-17,1.3
01-Jun-17,1.8
