date,close
01-Dec-85,2.2
01-Mar-86,2.1
01-Jun-86,1.2
01-Sep-86,2.7
01-Dec-86,2.4
01-Mar-87,1.6
01-Jun-87,1.1
01-Sep-87,1.3
01-Dec-87,1.3
01-Mar-88,1.8
01-Jun-88,1.6
01-Sep-88,1.6
01-Dec-88,1.4
01-Mar-89,1.3
01-Jun-89,2
01-Sep-89,1.3
01-Dec-89,1.6
01-Mar-90,1.5
01-Jun-90,1.2
01-Sep-90,0.4
01-Dec-90,1.8
01-Mar-91,0.5
01-Jun-91,0.1
01-Sep-91,0.6
01-Dec-91,0.8
01-Mar-92,0.4
01-Jun-92,-0.2
01-Sep-92,0.5
01-Dec-92,0.6
01-Mar-93,0.9
01-Jun-93,0.4
01-Sep-93,0.3
01-Dec-93,0.4
01-Mar-94,0
01-Jun-94,0.3
01-Sep-94,0.3
01-Dec-94,0.3
01-Mar-95,0.6
01-Jun-95,1
01-Sep-95,0.4
01-Dec-95,0.4
01-Mar-96,0.3
01-Jun-96,0.3
01-Sep-96,0
01-Dec-96,0.3
01-Mar-97,0.3
01-Jun-97,-0.1
01-Sep-97,0.5
01-Dec-97,0.6
01-Mar-98,0.4
01-Jun-98,0.5
01-Sep-98,0.5
01-Dec-98,0.3
01-Mar-99,0
01-Jun-99,0.2
01-Sep-99,0.4
01-Dec-99,0.4
01-Mar-00,0.7
01-Jun-00,1
01-Sep-00,2.6
01-Dec-00,0.5
01-Mar-01,0.9
01-Jun-01,0.8
01-Sep-01,0.2
01-Dec-01,0.8
01-Mar-02,0.8
01-Jun-02,0.4
01-Sep-02,0.6
01-Dec-02,0.7
01-Mar-03,0.9
01-Jun-03,0.1
01-Sep-03,0.3
01-Dec-03,0.2
01-Mar-04,0.8
01-Jun-04,0.6
01-Sep-04,0.6
01-Dec-04,0.8
01-Mar-05,0.8
01-Jun-05,0.4
01-Sep-05,0.9
01-Dec-05,0.7
01-Mar-06,1
01-Jun-06,1.1
01-Sep-06,0.9
01-Dec-06,0.4
01-Mar-07,0.6
01-Jun-07,0.9
01-Sep-07,0.7
01-Dec-07,0.7
01-Mar-08,1.2
01-Jun-08,1.1
01-Sep-08,1.4
01-Dec-08,1.1
01-Mar-09,0.7
01-Jun-09,0.1
01-Sep-09,0.3
01-Dec-09,0.2
01-Mar-10,0.7
01-Jun-10,0.5
01-Sep-10,0.8
01-Dec-10,0.1
01-Mar-11,0.8
01-Jun-11,0.5
01-Sep-11,0.5
01-Dec-11,0.3
01-Mar-12,0.3
01-Jun-12,0.8
01-Sep-12,0.7
01-Dec-12,0.3
01-Mar-13,0.4
01-Jun-13,0.5
01-Sep-13,1
01-Dec-13,0.6
01-Mar-14,0.6
01-Jun-14,0.3
01-Sep-14,0.4
01-Dec-14,0.4
01-Mar-15,0.5
01-Jun-15,0.8
01-Sep-15,0.6
01-Dec-15,0.4
01-Mar-16,-0.2
01-Jun-16,0.3
01-Sep-16,0.2
01-Dec-16,0.4
01-Mar-17,0.3
01-Jun-17,0.5
